ScholarshipID,SponsorID,ScholarshipName,ScholarshipLink,ScholarshipContactFName,ScholarshipContactLName,ScholarshipContactEmail,ScholarshipContactTelephone,ScholarshipAward,ScholarshipDescription,ScholarshipOccurence,ScholarshipEligibilityReqs,ScholarshipEligibilityReqsOther,ScholarshipApplListDate,ScholarshipApplStartDate,ScholarshipApplEndDate,Criteria_Gender,Criteria_AgeMinimum,Criteria_AgeMaximum,Criteria_Citizenship,Criteria_YearOfNeed,ScholarshipStatus,Criteria_EducationLevel_NOTUSED,Criteria_EnrollmentStatus,Criteria_SchoolType_NOTUSED,Crtieria_MinimumGPA,Criteria_USMilitaryService,Criteria_FieldOfStudy,Criteria_FAAPilotCertificate,Criteria_FAAPilotRating,Criteria_FAAMechanicCertificate,Notes_Admin
200147,100015,David and Catherine Thompson Space Technology Scholarship,https://www.aiaa.org/home/get-involved/students-educators/scholarships-graduate-awards,Michael,Lagana,scholarships@aiaa.org,(703) 264-7503,"$10,000 ","The AIAA Foundation annually awards financial aid to undergraduate and graduate students in science or engineering programs to help support future aerospace professionals. <br><br>This scholarship is offered each year to college sophomores, juniors, and seniors. Recipients can apply to renew their scholarship annually until they reach graduation.",Annual,1. Must be a current AIAA member in good standing.<br>2. Must have completed at least one academic semester of full-time college work.<br>3. Must have a minimum cumulative GPA of 3.3 on a 4.0 scale<br>4. Must be enrolled in an accredited college or university within the United States or U.S. territories.<br>5. Must be studying a field to enter the Astronautics industry.,"1. Official College/University Transcripts* (if you\''''ve attended more than one College/University, official transcripts from ALL schools must be provided), including undergraduate work completed through the most recent Fall term.<br>2. Assessment of a 500-1,000 word essay specifying the applicant\''''s career objectives and an outline of the academic program required to achieve the career objectives.<br>3. Three (3) professional letters of recommendation (recommendations from relatives will not be accepted). Letters of recommendation must be submitted via the online application system.<br>4. Extracurricular activities, including high school, college and community activities, offices, awards, and work experience will receive due consideration.",,10/1/2019,1/31/2020,,,,|912001|,|913005|913006|913007|,Done,|College Sophomore|College Junior|College Senior|,|914001|,|Four-year College or University|Two-year College|,3.3,,|911002|,,,,
200193,100069,Flight Attendants/Flight Technicians Scholarship,https://nbaa.org/professional-development/scholarships/flight-attendantsflight-technicians-scholarship/,Molly,Hitch,scholarships@nbaa.org,(202) 783-9353,Monetary prize and training.,The NBAA Flight Attendants Committee is dedicated to promoting education and training as a means for business aviation flight attendants and flight technicians to enhance their professional careers.,Annual,1. Must be a current or aspiring business aviation flight attendant or flight technician.<br>2. Must be at least 18 years old.,1. Current one-page resume.<br>2. Essay.<br>3. Two signed letters of recommendation specifically relating to scholarship qualifications (dated within the last calendar year).,,,2/29/2020,,18,,,|913010|,Incomplete,,,,0,,|911003|911010|,,,|918006|,
200058,100136,AOPA Advanced Rating Scholarship,https://www.aopa.org/training-and-safety/students/flight-training-scholarships,,,ftscholarship@aopa.org,,"Multiple awards ranging from $3,000 - $10,000",This scholarship is to support outstanding pilots with career aspirations who are AOPA members seeking one of the following ratings or certificates:<br>- Instrument<br>- Commercial<br>- CFI (Certificated Flight Instructor)<br>- CFII (Certificated Flight Instructor - Instrument)<br>- MEI (Multi-Engine - Instructor),Annual,"1. Must be a current paid member of AOPA at both the time of application and when the scholarship is awarded.<br>2. U.S. citizen or U.S. permanent resident.<br>3. Meet the minimum age requirement, stated below, for the desired rating or certificate by the application close date. There are no exceptions.<br>     -Instrument - age 17 (includes applicants applying for the Dare to Fly with AOPA Instrument Rating Scholarship)<br>     -Commercial - age 18<br>     -CFI (Certificated Flight Instructor) - age 18<br>     -CFII (Certificated Flight Instructor - Instrument) - age 18<br>     -MEI (Multi-Engine - Instructor) - age 18<br>4. Hold a minimum of an FAA Private Pilot Certificate at the time of application.<br>5. Not have completed the FAA practical test/checkride for the desired additional rating at the time of application.<br>6. Be either a newly certificated private pilot (within 24 calendar months) or have completed a flight review in accordance with 14CFR 61.56.",,,1/3/2020,3/15/2020,,17,,|912001|,,Done,,,,0,,|911004|,|916005|916006|916007|916008|,,,
200453,100041,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200454,100043,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200455,100044,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200496,100121,Vertical Flight Foundation Scholarship,https://vtol.org/education/vertical-flight-foundation-scholarships/vff-scholarship-online-application,Julie,Gibbs,jmgibbs@vtol.org,(703) 684-6777 ext. 103,"Range up to $6,000",The Vertical Flight Foundation (VFF) scholarships are awarded to college students demonstrating an interest in pursuing engineering related careers in vertical flight technology.,Annual,"1. Must be a full-time college level student, enrolled in a relevant engineering degree program at an accredited university and have completed at least one (1) full college level semester by the time of application due date. (Technical disciplines relevant to complex aeronautics engineering or aviation systems, even if not considered vertical lift engineering, will receive equal consideration.)<br>2. Must be registered as a full-time college student for at least one academic term<br><br>NOTE: A student can receive a VFF scholarship award once as an Undergraduate, once as a Master\''''s student, and once as a graduate student.","A complete application package must include the following:<br>1. Completed Scholarship Application Form<br>2. Resume<br>3. Narrative providing a personal statement regarding your passion for aeronautics, aeronautical engineering or complex aviation systems and vertical flight technology specifically. <br>4. Official University/School Transcript<br>5. Professor Letter of Recommendation",,,2/3/2020,,,,,|913004|913005|913006|913007|913008|913009|,Done,|College Freshman|College Sophomore|College Junior|College Senior|Bachelor\'s Degree|Pursuing Master\'s Degree|Master\'s Degree|,|914001|,|Four-year College or University|Graduate School|,0,,|911008|,,,,
200406,100001,The Dean Edmonds Scholarship for Instrument Training,https://www.acone.org/content.aspx?page_id=22&club_id=779885&module_id=284130,Mark,Holzwarth,mark@ecacbed.com,(781) 274-6322,"$2,000 ","Established in 1992, this award is funded by the Aero Club of New England.",Annual,"1. Must intend to pursue a professional pilot career.<br>2. Be a full time New England resident and a U.S. Citizen.<br>3. Hold a current Airman Certificate (except for initial primary flight training).<br>4. Hold a current Medical Certificate.<br>5. Be at least 16 years of age.<br>6. Take their flight training at a New England facility doing business as a flight school.<br>7. Have accumulated total flight time of 100 hours to be eligible for the scholarships, except 20 hours plus solo for the primary flight training (initial) scholarship.<br>8. Demonstrate a financial need and scholarship for the award.<br>9. Have a current Biennial Flight Review (except for initial primary flight training).<br>10. Use the scholarship funds within one year.","1. Copy of all transcripts (high school, technical, vocational, military, or college) of school records.<br>2. Copy of your birth certificate, passport, or permanent resident card, if applicable.<br>3. Personal letter giving your reasons for selecting a professional aviation career path. Do include descriptions of your aviation related activities, with emphasis on what means the most to you. Discuss how you would use the scholarship to attain your career goals. What future employment do you plan to pursue? Do you have any extracurricular activities, hobbies, and interests? Personal letter should be limited to one page.<br>4. Provide a financial statement showing your expenses. (Form is provided in the application.) <br>5. Two letters of recommendation.<br>6. Copy of the most recent two pages of your personal logbook and medical and airman certificates.",,1/1/2020,3/15/2020,,16,,|912001|,,Done,,,,0,,|911003|,,,,
200422,100054,The LeRoy W. Homer Jr. Foundation Flight Training Scholarship Program,https://leroywhomerjr.org/scholarships/application/,Jane,Oswari,info@leroywhomerjr.orgÂ ,(800) 388-1647,All fees and expenses associated with the private pilot course instruction.,"LeRoy Homer was the First Officer on UnitedAirlines Flight 93, which was hijacked and crashed in Pennsylvania on September 11, 2001. The mission of The Foundation is to continue LeRoy\''''s love of flight by encouraging young men and women who wish to pursue aviation careers as professional pilots. The Foundation will award flight instruction scholarships to potential students for private pilot certification. The scholarship recipient must be willing to commit the necessary time required to complete the entire private pilot training program within a six-month period.",Annual,"1. Must be between the ages of 16 and 23 years of age on January 31, 2020.<br>2. Must be a United States citizen or resident alien.<br>3. Must not have been charged or convicted of any misdemeanors or felonies.<br>4. Must be able to read, write, and speak English to FAA standards.<br>5. Must be able to attain an FAA third-class medical certificate. (This certificate will only be requested once an individual has been selected for a scholarship, and does not need to be included with the application).<br>6. Must have dependable transportation and sufficient time available to complete training at the nearest<br>Pilot Training Center.<br>7. Successful applicants must sign a Release of Liability form before any flight training will commence.",1. Two letters of recommendation. <br>2. Official transcripts.<br>3. Three essay questions which are identified within the application.,,11/1/2019,1/31/2020,,16,23,|912001|,,Done,,,,0,,|911004|,|916004|,|917001|917003|,,
200371,100153,Southern Utah University Fueling the Future Scholarship for Initial Flight Training,https://www.whirlygirls.org/scholarship-offerings-and-requirements-scholarships/,Katie,Downey,scholarshipdir1@whirlygirls.org,,"Two (2) $20,000 awards for flight training","The SUU Fueling the Future Initial Flight Training Scholarship will provide two deserving Whirly-Girls who are starting their helicopter careers and have no previous rotorcraft ratings with up to $20,000 for flight training. This scholarship can be used towards the cost of the SUU instrument or commercial flight lab.",Annual,"1. Must be a female Whirly-Girl associate member, and must have joined the Whirly-Girls no later than August 23, 2019.<br>2. Must attend SUU for their private rating, and the award will be contingent upon successfully completing the private rating at SUU.<br>3. Applicants should have the intention of completing their ratings up to CFI and will need to enroll in one of SUU\''''s degree programs.<br>4. Must be a U.S. citizen.",,,,9/8/2019,|Female|,,,|912001|,,Done,,,,0,,|911004|,,|917007|,,
200197,100069,Fred and Diane Fitts Aviation Scholarship,https://nbaa.org/professional-development/scholarships/fred-diane-fitts-aviation-scholarship/,Molly,Hitch,scholarships@nbaa.org,(202) 783-9353,"Four (4) awards up to $2,500 each","NBAA Charities will award up to $2,500 to four individuals who are seeking career opportunities as a business aviation schedulers or dispatchers, maintenance professionals, pilots or flight attendants. The scholarship selection committee will focus on applicants that are able to express their dedication to furthering the business aviation industry.",Annual,"1. Must be seeking a career opportunity as a business aviation scheduler or dispatcher, maintenance professional, pilot, or flight attendant.<br>2. U.S. citizen or permanent resident.",1. An essay.<br>2. A resume.<br>3. An official transcript.<br>4. Two signed letters of recommendation.,,,7/26/2019,,,,|912001|,,Incomplete,,,,0,,|911003|911007|,,,|918001|918002|918003|918004|918006|918008|,
200127,100059,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200128,100060,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200134,100003,Col. Loren J. and Mrs. Lawona R. Spencer Scholarship,,,,,,"$5,000 ",,Annual,,,,12/1/2019,4/30/2020,,,,,,Incomplete,,,,0,,,,,,
200135,100061,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200136,100062,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200138,100073,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200139,100074,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200162,100077,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200163,100079,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200164,100080,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200165,100082,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200111,100053,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200175,100000,East High Alumni Scholarship Fund,https://wichitacf.org/scholarships,,,,,,,Annual,,,,,3/13/2020,,,,,,Incomplete,,,,0,,,,,,
200190,100000,FLIR Scholarship,http://www.nhascholarshipfund.org/about/scholarships/,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200188,100109,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200189,100110,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200196,100130,,https://www.ushpa.org/USHPA/page/launching-a-college-scholarship.aspx,,,,,"$2,000 ",,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200222,100015,Gordon C. Oates Air Breathing Propulsion Graduate Award,https://www.aiaa.org/home/get-involved/students-educators/scholarships-graduate-awards,Michael,Lagana,scholarships@aiaa.org,(703) 264-7520,"$1,000 ",The AIAA Foundation annually awards financial aid to undergraduate and graduate students in science or engineering programs to help support future aerospace professionals. <br><br>This scholarship is offered each year to graduate students doing excellent research in the air and space sciences.,Annual,1. Must be a current AIAA member in good standing.<br>2. Must have completed at least one academic quarter or semester of full-time graduate-level college work and have a research topic approved.<br>3. Must have a minimum cumulative GPA of 3.3 on a 4.0 scale<br>4. Must be enrolled in any accredited college or university within the United States or U.S. territories.<br>5. Must be continuing graduate work in some field of science or engineering encompassed by the technical activities of AIAA.<br>6. Must be researching a topic related to Air Breathing Propulsion.,"1. Official College/University Transcripts* (if you\''''ve attended more than one College/University, official transcripts for all graduate level work from ALL schools must be provided), including all graduate work completed through the most recent Fall term.<br>2. Assessment of a 500-1,000 word typewritten essay, specifying the applicant\''''s career objectives and an outline of the academic program required to achieve the career objectives.<br>3. A research description that (1) Must be in PDF format, (2) Must be 1-20 pages (Descriptions over 20 pages will not be accepted), and (3) Clearly defines hypotheses, research approach, objectives, and benefits of research.<br>4. Three (3) professional letters of recommendation (recommendations from relatives will not be accepted). Letters of recommendation must be submitted via the online application system.<br>5. Extracurricular activities, including high school, college and community activities, offices, awards, and work experience will receive due consideration.",,10/1/2019,1/31/2020,,,,|912001|,|913008|913009|,Done,|Pursuing Master\'s Degree|,|914001|,|Four-year College or University|Graduate School|,3.3,,|911008|,,,,
200099,100046,Business Aviation Scholarships,https://iada.aero/press-release/66/applications-for-iada-business-aviation-scholarships-accepted-through-sept-1,Anthony,Kioussis,akioussis@assetinsight.com,(540) 905-4555,"Ranging from $1,000 - $5,000","The IADA Business Aviation Scholarship was established to benefit university students seeking a career in Business Aviation, specifically, within the corporate aircraft Sales, Marketing, Finance, Legal and Insurance community.",Annual,"1. Must apply through your university\''''s financial aid office. (The universities need to submit a list of applicants meeting IADA scholarship requirements to IADA by no later than September 1st)<br>2. Must be a full-time, undergraduate or graduate student taking a minimum of 12 hours per semester.<br>3. Must be attending colleges and universities offering course work in corporate aviation management, aerodynamics, aircraft systems, aviation safety, finance, business marketing, economics and or studies that relate to aviation business and management. <br>4. Must have a 3.0 minimum cumulative GPA on a 4.0 grade scale.<br>5. Students who are U.S. citizens or permanent residents are preferred.",,,,9/1/2019,,,,,|913003|913004|913005|913006|913007|913008|913009|,Done,|College Freshman|College Sophomore|College Junior|College Senior|Bachelor\'s Degree|Pursuing Master\'s Degree|Master\'s Degree|Pursuing Doctoral Degree|Doctoral Degree|,|914001|,|Four-year College or University|Two-year College|,3,,|911005|911008|,,,,
200252,100015,John Leland Atwood Graduate Award,https://www.aiaa.org/home/get-involved/students-educators/scholarships-graduate-awards,Michael,Lagana,scholarships@aiaa.org,(703) 264-7518,"$1,250 ",The AIAA Foundation annually awards financial aid to undergraduate and graduate students in science or engineering programs to help support future aerospace professionals. <br><br>This scholarship is offered each year to graduate students doing excellent research in the air and space sciences.,Annual,1. Must be a current AIAA member in good standing.<br>2. Must have completed at least one academic quarter or semester of full-time graduate-level college work and have a research topic approved.<br>3. Must have a minimum cumulative GPA of 3.3 on a 4.0 scale<br>4. Must be enrolled in any accredited college or university within the United States or U.S. territories.<br>5. Must be continuing graduate work in some field of science or engineering encompassed by the technical activities of AIAA.,"1. Official College/University Transcripts* (if you\''''ve attended more than one College/University, official transcripts for all graduate level work from ALL schools must be provided), including all graduate work completed through the most recent Fall term.<br>2. Assessment of a 500-1,000 word typewritten essay, specifying the applicant\''''s career objectives and an outline of the academic program required to achieve the career objectives.<br>3. A research description that (1) Must be in PDF format, (2) Must be 1-20 pages (Descriptions over 20 pages will not be accepted), and (3) Clearly defines hypotheses, research approach, objectives, and benefits of research.<br>4. Three (3) professional letters of recommendation (recommendations from relatives will not be accepted). Letters of recommendation must be submitted via the online application system.<br>5. Extracurricular activities, including high school, college and community activities, offices, awards, and work experience will receive due consideration.",,10/1/2019,1/31/2020,,,,|912001|,|913008|913009|,Done,|Pursuing Master\'s Degree|,|914001|,|Four-year College or University|Graduate School|,3.3,,|911008|,,,,
200209,100000,Galen and Brenda Schawe Scholarship Fund,https://wichitacf.org/scholarships,,,,,,,Annual,,,,,3/13/2020,,,,,,Incomplete,,,,0,,,,,,
200159,100139,"Delta Air Lines, Inc. Initial Maintenance Training/POT Scholarships (Category I) for Part 147 A&P School Students",https://www.awam.org/content.aspx?page_id=22&club_id=975301&module_id=312596,Stacey,Rudser,scholarships@awam.org,,"Two (2) $6,000 awards","Delta Air Lines, Inc. is offering two scholarships:<br><br>   - One for Systems and Avionics Initial training course on your choice of any aircraft in Delta\''''s fleet<br>    - One Principles of Troubleshooting training course. <br><br>These courses will be held at the Delta Training Facility in Atlanta, Georgia. These scholarships will be given to two separate recipients. Scholarships must be used within one year of their award date.",Annual,1. Must be an active AWAM member.<br>2. Must be a student enrolled in an A&P program.,Please scan the following documents into a single PDF file in the order they are listed below. You must attach a separate set of application documents for each scholarship you are applying for that requires an extra essay. <br>1. Resume<br>2. Essay (250 words) explaining your interest in aviation.<br>3. Two letters of recommendation<br>4. Unofficial Transcript(s),,,11/1/2020,,,,,|913001|913003|913004|913005|913006|913007|,Done,|College Freshman|College Sophomore|College Junior|College Senior|Bachelor\'s Degree|Pursuing Master\'s Degree|Master\'s Degree|,|914001|914002|,"|Four-year College or University|Two-year College|Trade, Technical or Vocational School|FAA Part 147 Aviation Maintenance School|Graduate School|",0,,|911007|,,,|918001|918002|918003|918004|,
200120,100005,Category E - Raytheon Women in Aviation Scholarship,https://www.atca.org/scholarship,Tim,Wagner,tim.wagner@atca.org,(703) 299-2430 ext. 314,Not specified,This scholarship is offered to female students enrolled half-time to full-time in a program leading to a bachelor\'s degree or higher in an aviation-related course of study.,,1. Must be female.<br>2. Must be accepted or enrolled in a program (either part-time or full-time) leading to a bachelor\'s degree or higher in an aviation-related course of study.<br>3. Attendance is equal to at least half-time (6 semester hours or the equivalent).<br>4. Must have a minimum of 30 semester or 45 quarter hours still to be completed before graduation.<br><br>NOTE: Each scholarship will include a summer internship at Raytheon.,"1. Must list up to, but no more than, five of the most significant service activities in which you have participated. Limit your response for each section of the chart to one or two sentences. For each listing, include the service activity, Your role, Your responsibilities, years of involvement, and hours spent on the project.<br>2. Describe one of the projects listed in Question 1 that highlights your leadership skills, including your ability to initiate and implement a service project/activity. Please limit your response to 300 words.<br>3. Must submit a 500 word or less essay based on \How you see your career unfolding?\. This essay should focus on how your education will enhance your potential contribution to aviation.<br>4. Two references to provide letters of recommendation in support of the application for the ATCA Scholarship Program. You may select anyone from your community who you believe can best address your strength of personal character and your commitment to volunteer service.<br>5. Official transcripts of all college coursework. If you are a high school student or have completed less than 30 semester or 45 quarter hours, also send high school transcript(s).",,1/1/2020,5/1/2020,|Female|,,,,|913001|913002|913003|913004|913005|913006|913007|913008|913009|,Done,|College Freshman|College Sophomore|College Junior|College Senior|Bachelor\'s Degree|Pursuing Master\'s Degree|,|914001|914002|914004|,"|Four-year College or University|<br>Two-year College|Trade, Technical or Vocational School|FAA Part 147 Aviation Maintenance School|Flight Training Program|FAA Part 141 School|FAA Part 61 School|Graduate School|",0,,,,,,
200394,100137,TAS Technical Aviation Services Scholarship,https://www.dispatcher.org/scholarship/2019-scholarships#tas,Deborah,Kowalewski,scholarship@dispatcher.org,(800) 676-2685,"$3,000 ","This scholarship will cover all instruction and training required to take the Aircraft Dispatch written and practical tests with an FAA 121 examiner for certification. Applicant will be responsible for the cost of books, FAA written, oral and practical testing, transportation to/from Technical Aviation Services, lodging and meals during his or her training.",One-time,"1. Must be a member of ADF to apply.<br>2. Must be at least 23 years of age.<br>3. Must be able to read, speak, write, and understand the English language.<br>4. Must be able to travel to and from training, have time available to attend training and study, without distraction, with practical testing following the course completion date.<br>5. Must be a U.S. Citizen OR hold current authorization to live and receive education within the United States not to expire prior to December 31, 2020.",1. Must submit a resume and descriptive essay.,,,8/16/2019,,23,,|912001|,,Done,,,,0,,|911003|911010|,,,|918008|,
200247,100000,JROTCÂ -Â MOAA,https://wichitacf.org/scholarships,,,,,,,Annual,,,,,3/13/2020,,,,,,Incomplete,,,,0,,,,,,
200257,100000,Lorraine & Otis Smith Caddie Scholarship Fund,https://wichitacf.org/scholarships,,,,,,,Annual,,,,,3/13/2020,,,,,,Incomplete,,,,0,,,,,,
200207,100049,French Connection Memorial Scholarship,https://icasfoundation.org/scholarships/french-connection-memorial-scholarship/,,,,,"$2,000 - Suspended until funding available",,,,"The recipient must be a certified flight instructor (CFI), and must use the scholarship for aerobatic flight training.",,,,,,,,,Incomplete,,,,0,,,,,,
